name,category,Latitude,longitude,Address,Hours,Handicap,Editor,Image,num of handi,num of cat
STARBUCKS,Coffee Shop,40.765826,-73.96363,"1128 Third Avenue  New York NY, 10021",,,,,,2
STARBUCKS,Coffee Shop,40.755057,-73.968551,"943 Second Avenue  New York NY, 10022",,,,,,2
STARBUCKS,Coffee Shop,40.761135,-73.969274,"135 East 57th Street  New York NY, 10022",,,,,,2
STARBUCKS,Coffee Shop,40.761136,-73.969971,"116 E. 57th Street  New York NY, 10022",,,,,,2
STARBUCKS,Coffee Shop,40.756324,-73.970562,"830 Third Avenue  New York NY, 10022",,,,,,2
STARBUCKS,Coffee Shop,40.758887,-73.970782,"630 Lexington Ave  New York NY, 10017",,,,,,2
Starbucks,Coffee Shop,40.74114027,-74.00138497,124 Eighth Avenue,Starbucks Hours,No,109,,2,2
Starbucks,Coffee Shop,40.75056909,-73.97694469,360 Lexington Avenue,Starbucks Hours,No,109,,2,2
Starbucks,Coffee Shop,40.77411093,-73.98133278,152 - 154 Columbus Avenue,Starbucks Hours,No,109,,2,2
Starbucks,Coffee Shop,40.75231653,-73.97782445,Grand Central Station,Starbucks Hours,No,109,,2,2
STARBUCKS,Coffee Shop,40.757854,-73.971214,"599 Lexington  New York NY, 10022",,,,,,2
STARBUCKS,Coffee Shop,40.753956,-73.971967,"757 Third Avenue  New York NY, 10017",,,,,,2
STARBUCKS,Coffee Shop,40.756732,-73.972351,"560 Lexington Avenue  New York NY, 10022",,,,,,2
STARBUCKS,Coffee Shop,40.754968,-73.973311,"511 Lexington Avenue  New York NY, 10017",,,,,,2
STARBUCKS,Coffee Shop,40.761165,-73.973333,"550 Madison Avenue  New York NY, 10022",,,,,,2
STARBUCKS,Coffee Shop,40.759625,-73.973609,"55 E 53rd St  New York NY, 10022",,,,,,2
STARBUCKS,Coffee Shop,40.751541,-73.973723,"685 Third Avenue  New York NY, 10017",,,,,,2
STARBUCKS,Coffee Shop,40.762416,-73.974205,"725 5th Avenue  New York NY, 10022",,,,,,2
STARBUCKS,Coffee Shop,40.7584,-73.974579,"45 E. 51st Street  NY NY, 10022",,,,,,2
STARBUCKS,Coffee Shop,40.750121,-73.974764,"639 3rd Avenue  New York NY, 10017",,,,,,2
STARBUCKS,Coffee Shop,40.753187,-73.97494,"450 Lexington Avenue  New York NY, 10017",,,,,,2
STARBUCKS,Coffee Shop,40.756147,-73.975022,"280 Park Avenue  New York NY, 10017",,,,,,2
STARBUCKS,Coffee Shop,40.751129,-73.975644,"150 E. 42nd Street  New York NY, 10017",,,,,,2
Starbucks,Coffee Shop,40.7430993,-74.00035501,177 Eighth Avenue,Starbucks Hours,No,109,,2,2
Starbucks,Coffee Shop,40.75215398,-73.97533536,107 E 43rd St and Lexington Ave,Starbucks Hours,No,109,,2,2
Starbucks,Coffee Shop,40.7565427,-73.97410154,301 Park Ave,Starbucks Hours,No,109,,2,2
Starbucks,Coffee Shop,40.75171509,-73.99267316,1 Penn Plaza Concourse Level  New York NY,Starbucks Hours,No,109,,2,2
STARBUCKS,Coffee Shop,40.74415,-73.983708,"424 Park Avenue South  New York NY, 10016",,,,,,2
STARBUCKS,Coffee Shop,40.754862,-73.983944,"1100 Avenue of the Americas  New York NY, 10028",,,,,,2
STARBUCKS,Coffee Shop,40.769399,-73.9848,"2 Columbus Avenue  New York NY, 10023",,,,,,2
STARBUCKS,Coffee Shop,40.759935,-73.985017,"1585 Broadway  New York NY, 10036",,,,,,2
Starbucks,Coffee Shop,40.732141,-73.99814487,79 Washington Square,Starbucks Hours,No,109,,2,2
Starbucks,Coffee Shop,40.76218259,-73.9863646,825 Eighth Avenue,Starbucks Hours,No,109,,2,2
Starbucks,Coffee Shop,40.77468779,-73.95429611,1559 2nd Avenue,Starbucks Hours,No,109,,2,2
